<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GheymatVazniAr,d,20211117,000000,349576,350580,349576,349867,3965728673
GheymatVazniAr,d,20211120,000000,350062,350062,343096,343096,4180063900
GheymatVazniAr,d,20211121,000000,342981,343960,342642,343950,4557795383
GheymatVazniAr,d,20211122,000000,344784,349115,344784,348959,4692752356
GheymatVazniAr,d,20211123,000000,349354,349354,348101,348319,3460480814
GheymatVazniAr,d,20211124,000000,348315,348315,345715,345715,3957085453
GheymatVazniAr,d,20211127,000000,344807,344807,338910,338922,3697869525
GheymatVazniAr,d,20211128,000000,339021,339713,339018,339226,3179920164
GheymatVazniAr,d,20211129,000000,339231,339715,338188,338218,2695418395
GheymatVazniAr,d,20211130,000000,338194,338194,336520,336529,3258528891
GheymatVazniAr,d,20211201,000000,336444,336444,332299,332299,3366264597
GheymatVazniAr,d,20211204,000000,332618,332951,330761,330984,3224007300
GheymatVazniAr,d,20211205,000000,331259,333088,331259,333046,2778352452
GheymatVazniAr,d,20211206,000000,333124,333634,332820,332835,2755487749
GheymatVazniAr,d,20211207,000000,332645,332645,331637,331760,2343755046
GheymatVazniAr,d,20211208,000000,331822,334580,331822,334580,4037895793
GheymatVazniAr,d,20211211,000000,334761,334842,333353,333353,4801379857
GheymatVazniAr,d,20211212,000000,332882,332882,327452,327452,3811331709
GheymatVazniAr,d,20211213,000000,327252,327252,321192,321197,4333893240
GheymatVazniAr,d,20211214,000000,320615,320615,319527,320278,3951831264
GheymatVazniAr,d,20211215,000000,320341,321402,320341,320624,3668916154
GheymatVazniAr,d,20211218,000000,321161,323683,321161,323673,3997809914
GheymatVazniAr,d,20211219,000000,323834,323834,320234,320237,3515154271
GheymatVazniAr,d,20211220,000000,320552,322683,320552,322683,3799567188
GheymatVazniAr,d,20211221,000000,322939,326879,322939,326853,3377669611
GheymatVazniAr,d,20211222,000000,327694,336934,327694,336934,4385227318
GheymatVazniAr,d,20211225,000000,338985,343900,338985,343499,5998858611
GheymatVazniAr,d,20211226,000000,343373,343373,341927,343123,4588217469
GheymatVazniAr,d,20211227,000000,343637,347405,343637,346669,5415899561
GheymatVazniAr,d,20211228,000000,346584,346584,345873,346569,4569903586
GheymatVazniAr,d,20211229,000000,346627,346833,345925,345925,5429634485
GheymatVazniAr,d,20220101,000000,345683,345683,341337,341337,3940807987
GheymatVazniAr,d,20220102,000000,341295,341799,341295,341402,2964446551
GheymatVazniAr,d,20220103,000000,341419,341650,340650,340650,2981327219
GheymatVazniAr,d,20220104,000000,340615,340615,337369,337377,3298721385
GheymatVazniAr,d,20220105,000000,337377,337465,337257,337444,2724471905
GheymatVazniAr,d,20220108,000000,337478,338541,337258,337279,5180065293
GheymatVazniAr,d,20220109,000000,337228,337228,330921,330927,4201934167
GheymatVazniAr,d,20220110,000000,330699,330699,329279,329921,4465668791
GheymatVazniAr,d,20220111,000000,330142,331302,330142,330403,3973575340
GheymatVazniAr,d,20220112,000000,330411,330581,330293,330293,3356053028
GheymatVazniAr,d,20220115,000000,330314,330314,327398,327398,3774945135
GheymatVazniAr,d,20220116,000000,327328,327328,324486,324486,3208296290
GheymatVazniAr,d,20220117,000000,324581,325332,323413,323413,3746872029
GheymatVazniAr,d,20220118,000000,323212,323212,315812,315812,4504674260
GheymatVazniAr,d,20220119,000000,315579,316688,315474,316652,3436360942
GheymatVazniAr,d,20220122,000000,318138,318462,316340,316340,3521482693
GheymatVazniAr,d,20220123,000000,316124,316124,310099,310099,4622760246
GheymatVazniAr,d,20220124,000000,309838,309838,304698,304698,3361724758
GheymatVazniAr,d,20220125,000000,304511,304511,298089,298089,5473118276
GheymatVazniAr,d,20220126,000000,299545,303394,299545,303381,4489237046
GheymatVazniAr,d,20220129,000000,304373,310691,304373,310691,3360802714
GheymatVazniAr,d,20220130,000000,312872,317021,312872,317021,4852201610
GheymatVazniAr,d,20220131,000000,317173,319494,317171,319482,5534972790
GheymatVazniAr,d,20220201,000000,320125,321163,320125,321113,6739509215
GheymatVazniAr,d,20220202,000000,321146,321146,320593,321088,5570554954
GheymatVazniAr,d,20220205,000000,321814,322378,321814,321890,4554475698
GheymatVazniAr,d,20220206,000000,321744,321744,316350,316372,5468330997
GheymatVazniAr,d,20220207,000000,315546,315546,314484,314501,4522027105
GheymatVazniAr,d,20220208,000000,314809,316228,314809,316131,4433649689
GheymatVazniAr,d,20220209,000000,316198,316892,315689,316892,4587037030
GheymatVazniAr,d,20220212,000000,317107,317298,316860,316860,4879554191
GheymatVazniAr,d,20220213,000000,316893,316893,314870,314870,3676836253
GheymatVazniAr,d,20220214,000000,315220,316686,315220,316596,3240409303
GheymatVazniAr,d,20220216,000000,316651,316696,316371,316371,2952308023
GheymatVazniAr,d,20220219,000000,316504,316569,316269,316317,4405539846
GheymatVazniAr,d,20220220,000000,316384,316418,314368,314370,3727736939
GheymatVazniAr,d,20220221,000000,314607,316509,314607,316161,6044411495
GheymatVazniAr,d,20220222,000000,316450,317037,316450,316932,4422021120
GheymatVazniAr,d,20220223,000000,317067,317787,317067,317779,4058665776
GheymatVazniAr,d,20220226,000000,317634,317634,316419,316438,4386324762
GheymatVazniAr,d,20220227,000000,316333,316333,315454,315548,2870381316
GheymatVazniAr,d,20220228,000000,315644,316200,315644,316200,3114752067
GheymatVazniAr,d,20220302,000000,316584,316873,315946,315972,5504745707
GheymatVazniAr,d,20220305,000000,317378,320320,317378,320169,8431989253
GheymatVazniAr,d,20220306,000000,321441,326044,321441,326035,7988835321
GheymatVazniAr,d,20220307,000000,327457,331547,327457,331033,7953917414
GheymatVazniAr,d,20220308,000000,330768,330768,329471,329471,5505153728
GheymatVazniAr,d,20220309,000000,329924,332374,329924,332279,6351207917
GheymatVazniAr,d,20220312,000000,330423,330423,328484,328484,7539984143
GheymatVazniAr,d,20220313,000000,328321,329182,328196,329068,4474619643
