<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
price_usd_nerkhapi,d,20140623,000000,31760,31900,31760,31600
price_usd_nerkhapi,d,20140624,000000,31600,31770,31600,31600
price_usd_nerkhapi,d,20140625,000000,31590,31710,31590,31400
price_usd_nerkhapi,d,20140626,000000,31620,31680,31620,31700
price_usd_nerkhapi,d,20140705,000000,30900,31200,30900,31000
price_usd_nerkhapi,d,20140706,000000,30700,30990,30700,30930
price_usd_nerkhapi,d,20140707,000000,30950,31220,30950,31200
price_usd_nerkhapi,d,20140708,000000,31200,31490,31200,31200
price_usd_nerkhapi,d,20140709,000000,31070,31220,31070,31110
price_usd_nerkhapi,d,20140710,000000,30990,31120,30990,31120
price_usd_nerkhapi,d,20140712,000000,30980,31170,30980,31100
price_usd_nerkhapi,d,20140713,000000,31180,31350,31180,31280
price_usd_nerkhapi,d,20140714,000000,31250,31370,31250,31310
price_usd_nerkhapi,d,20140715,000000,31120,31210,31120,31160
price_usd_nerkhapi,d,20140716,000000,31170,31360,31170,31310
price_usd_nerkhapi,d,20140717,000000,31330,31410,31330,31390
price_usd_nerkhapi,d,20140720,000000,31210,31370,31210,31280
price_usd_nerkhapi,d,20140721,000000,31270,31370,31270,31310
price_usd_nerkhapi,d,20140722,000000,31290,31350,31290,31330
price_usd_nerkhapi,d,20140723,000000,31300,31350,31300,31300
price_usd_nerkhapi,d,20140724,000000,31330,31420,31330,31390
price_usd_nerkhapi,d,20140726,000000,31360,31400,31360,31300
price_usd_nerkhapi,d,20140727,000000,31320,31410,31320,31300
price_usd_nerkhapi,d,20140728,000000,31250,31350,31250,31700
price_usd_nerkhapi,d,20140729,000000,31290,31290,31290,31900
price_usd_nerkhapi,d,20140731,000000,31230,31250,31230,31500
price_usd_nerkhapi,d,20140801,000000,31230,31230,31230,31300
price_usd_nerkhapi,d,20140802,000000,31190,31290,31190,31200
price_usd_nerkhapi,d,20140803,000000,31300,31380,31300,31300
price_usd_nerkhapi,d,20140804,000000,31380,31470,31380,31400
price_usd_nerkhapi,d,20140805,000000,31360,31440,31360,31400
price_usd_nerkhapi,d,20140806,000000,31340,31400,31340,31300
price_usd_nerkhapi,d,20140807,000000,31340,31380,31340,31300
price_usd_nerkhapi,d,20140809,000000,31270,31330,31270,31270
price_usd_nerkhapi,d,20140810,000000,31270,31300,31270,31270
price_usd_nerkhapi,d,20140811,000000,31230,31290,31230,31290
price_usd_nerkhapi,d,20140812,000000,31250,31300,31250,31260
price_usd_nerkhapi,d,20140813,000000,31220,31270,31220,31250
price_usd_nerkhapi,d,20140814,000000,31230,31270,31230,31230
price_usd_nerkhapi,d,20140815,000000,31190,31240,31190,31230
price_usd_nerkhapi,d,20140816,000000,31150,31240,31150,31150
price_usd_nerkhapi,d,20140817,000000,31090,31140,31090,31100
price_usd_nerkhapi,d,20140818,000000,31010,31100,31010,31010
price_usd_nerkhapi,d,20140819,000000,31030,31160,31030,31150
price_usd_nerkhapi,d,20140820,000000,31020,31120,31020,31020
price_usd_nerkhapi,d,20140821,000000,30970,31040,30970,30980
price_usd_nerkhapi,d,20140822,000000,30970,30990,30970,30980
price_usd_nerkhapi,d,20140823,000000,30640,31100,30640,31090
price_usd_nerkhapi,d,20140824,000000,31150,31340,31150,31210
price_usd_nerkhapi,d,20140825,000000,31150,31280,31150,31270
price_usd_nerkhapi,d,20140826,000000,31260,31340,31260,31310
price_usd_nerkhapi,d,20140827,000000,31250,31320,31250,31290
price_usd_nerkhapi,d,20140828,000000,31300,31340,31300,31340
price_usd_nerkhapi,d,20140829,000000,31330,31340,31330,31340
price_usd_nerkhapi,d,20140830,000000,31370,31630,31370,31600
price_usd_nerkhapi,d,20140831,000000,31500,31640,31500,31550
price_usd_nerkhapi,d,20140901,000000,31430,31540,31430,31480
price_usd_nerkhapi,d,20140902,000000,31480,31740,31480,31720
price_usd_nerkhapi,d,20140903,000000,31720,31890,31720,31800
price_usd_nerkhapi,d,20140904,000000,31710,31780,31710,31760
price_usd_nerkhapi,d,20140905,000000,31750,31750,31750,31750
price_usd_nerkhapi,d,20140906,000000,31650,31780,31650,31670
price_usd_nerkhapi,d,20140907,000000,31530,31660,31530,31650
price_usd_nerkhapi,d,20140908,000000,31660,31890,31660,31890
price_usd_nerkhapi,d,20140909,000000,31810,32010,31810,31840
price_usd_nerkhapi,d,20140910,000000,31710,31840,31710,31830
price_usd_nerkhapi,d,20140911,000000,31810,31870,31810,31860
price_usd_nerkhapi,d,20140912,000000,31850,31870,31850,31850
price_usd_nerkhapi,d,20140913,000000,31830,31950,31830,31850
price_usd_nerkhapi,d,20140914,000000,31770,31890,31770,31870
price_usd_nerkhapi,d,20140915,000000,31870,32000,31870,31960
price_usd_nerkhapi,d,20140916,000000,31970,32090,31970,31970
price_usd_nerkhapi,d,20140918,000000,31960,32160,31960,32080
price_usd_nerkhapi,d,20140919,000000,32060,32090,32060,32080
price_usd_nerkhapi,d,20140920,000000,31840,32070,31840,31850
price_usd_nerkhapi,d,20140921,000000,31740,31850,31740,31750
price_usd_nerkhapi,d,20140922,000000,31730,31760,31730,31740
price_usd_nerkhapi,d,20140923,000000,31720,31930,31720,31910
price_usd_nerkhapi,d,20140924,000000,31920,32050,31920,32020
price_usd_nerkhapi,d,20140925,000000,31980,32030,31980,31990
price_usd_nerkhapi,d,20140926,000000,31980,31990,31980,31990
price_usd_nerkhapi,d,20140927,000000,32000,32360,32000,32360
price_usd_nerkhapi,d,20140928,000000,32410,32690,32410,32610
price_usd_nerkhapi,d,20140929,000000,32470,32650,32470,32470
price_usd_nerkhapi,d,20140930,000000,32290,32450,32290,32390
price_usd_nerkhapi,d,20141001,000000,32410,32590,32410,32520
price_usd_nerkhapi,d,20141002,000000,32410,32530,32410,32420
price_usd_nerkhapi,d,20141003,000000,32420,32430,32420,32420
price_usd_nerkhapi,d,20141004,000000,32390,32450,32390,32420
price_usd_nerkhapi,d,20141006,000000,32300,32410,32300,32340
price_usd_nerkhapi,d,20141007,000000,32360,32450,32360,32450
price_usd_nerkhapi,d,20141008,000000,32410,32440,32410,32410
price_usd_nerkhapi,d,20141009,000000,32410,32510,32410,32500
price_usd_nerkhapi,d,20141010,000000,32490,32510,32490,32510
price_usd_nerkhapi,d,20141011,000000,32500,32630,32500,32510
price_usd_nerkhapi,d,20141012,000000,32430,32510,32430,32480
price_usd_nerkhapi,d,20141014,000000,32470,32550,32470,32510
price_usd_nerkhapi,d,20141015,000000,32520,32580,32520,32530
price_usd_nerkhapi,d,20141016,000000,32470,32550,32470,32540
price_usd_nerkhapi,d,20141017,000000,32530,32550,32530,32540
price_usd_nerkhapi,d,20141018,000000,32400,32520,32400,32420
price_usd_nerkhapi,d,20141019,000000,32350,32420,32350,32390
price_usd_nerkhapi,d,20141020,000000,32230,32390,32230,32240
price_usd_nerkhapi,d,20141021,000000,32230,32300,32230,32290
price_usd_nerkhapi,d,20141022,000000,32280,32340,32280,32290
price_usd_nerkhapi,d,20141023,000000,32250,32280,32250,32260
price_usd_nerkhapi,d,20141025,000000,32170,32280,32170,32190
price_usd_nerkhapi,d,20141026,000000,32130,32180,32130,32170
price_usd_nerkhapi,d,20141027,000000,32190,32340,32190,32330
price_usd_nerkhapi,d,20141028,000000,32300,32420,32300,32400
price_usd_nerkhapi,d,20141029,000000,32380,32450,32380,32410
price_usd_nerkhapi,d,20141030,000000,32400,32430,32400,32430
price_usd_nerkhapi,d,20141031,000000,32420,32430,32420,32430
price_usd_nerkhapi,d,20141101,000000,32450,32570,32450,32500
price_usd_nerkhapi,d,20141102,000000,32460,32540,32460,32540
price_usd_nerkhapi,d,20141103,000000,32540,32550,32540,32540
price_usd_nerkhapi,d,20141105,000000,32590,32590,32590,32590
price_usd_nerkhapi,d,20141106,000000,32570,32600,32570,32580
price_usd_nerkhapi,d,20141107,000000,32570,32590,32570,32580
price_usd_nerkhapi,d,20141108,000000,32500,32620,32500,32590
price_usd_nerkhapi,d,20141109,000000,32500,32600,32500,32520
price_usd_nerkhapi,d,20141110,000000,32440,32520,32440,32460
price_usd_nerkhapi,d,20141111,000000,32480,32570,32480,32570
price_usd_nerkhapi,d,20141112,000000,32530,32620,32530,32610
price_usd_nerkhapi,d,20141113,000000,32580,32610,32580,32610
price_usd_nerkhapi,d,20141114,000000,32600,32620,32600,32610
price_usd_nerkhapi,d,20141115,000000,32480,32570,32480,32500
price_usd_nerkhapi,d,20141116,000000,32440,32490,32440,32480
price_usd_nerkhapi,d,20141117,000000,32480,32500,32480,32480
price_usd_nerkhapi,d,20141118,000000,32470,32590,32470,32560
price_usd_nerkhapi,d,20141119,000000,32500,32570,32500,32530
price_usd_nerkhapi,d,20141120,000000,32510,32540,32510,32520
price_usd_nerkhapi,d,20141122,000000,32460,32520,32460,32460
price_usd_nerkhapi,d,20141123,000000,32360,32490,32360,32450
price_usd_nerkhapi,d,20141124,000000,32440,32610,32440,32600
price_usd_nerkhapi,d,20141125,000000,32570,32630,32570,32610
price_usd_nerkhapi,d,20141126,000000,32620,32940,32620,32920
price_usd_nerkhapi,d,20141127,000000,32910,33120,32910,33130
price_usd_nerkhapi,d,20141129,000000,33210,34220,33210,34220
price_usd_nerkhapi,d,20141130,000000,33980,35250,33980,34550
price_usd_nerkhapi,d,20141201,000000,33730,34490,33730,33770
price_usd_nerkhapi,d,20141202,000000,33530,33830,33530,33700
price_usd_nerkhapi,d,20141203,000000,33680,33790,33680,33730
price_usd_nerkhapi,d,20141204,000000,33680,33720,33680,33710
price_usd_nerkhapi,d,20141206,000000,33460,33700,33460,33480
price_usd_nerkhapi,d,20141207,000000,33270,34120,33270,34090
price_usd_nerkhapi,d,20141208,000000,34100,34690,34100,34290
price_usd_nerkhapi,d,20141209,000000,34140,34360,34140,34180
price_usd_nerkhapi,d,20141210,000000,34080,34220,34080,34150
price_usd_nerkhapi,d,20141211,000000,34150,34300,34150,34290
price_usd_nerkhapi,d,20141214,000000,34230,34650,34230,34630
price_usd_nerkhapi,d,20141215,000000,34220,34970,34220,34250
price_usd_nerkhapi,d,20141216,000000,34350,34770,34350,34760
price_usd_nerkhapi,d,20141217,000000,34770,35070,34770,34950
price_usd_nerkhapi,d,20141218,000000,34920,35120,34920,35030
price_usd_nerkhapi,d,20141220,000000,34930,35220,34930,35120
price_usd_nerkhapi,d,20141221,000000,35120,35170,35120,35120
price_usd_nerkhapi,d,20141222,000000,35170,35580,35170,35580
price_usd_nerkhapi,d,20141223,000000,35440,35490,35440,35490
price_usd_nerkhapi,d,20141224,000000,35420,35870,35420,35500
price_usd_nerkhapi,d,20141225,000000,35380,35510,35380,35400
price_usd_nerkhapi,d,20141227,000000,35440,35600,35440,35580
price_usd_nerkhapi,d,20141228,000000,35540,35760,35540,35620
price_usd_nerkhapi,d,20141229,000000,35410,35610,35410,35470
price_usd_nerkhapi,d,20141230,000000,35080,35540,35080,35150
price_usd_nerkhapi,d,20141231,000000,34920,35200,34920,34990
price_usd_nerkhapi,d,20150101,000000,34930,35020,34930,34960
price_usd_nerkhapi,d,20150103,000000,34760,35040,34760,35020
price_usd_nerkhapi,d,20150104,000000,35060,35430,35060,35230
price_usd_nerkhapi,d,20150105,000000,35080,35320,35080,35090
price_usd_nerkhapi,d,20150106,000000,35110,35240,35110,35210
price_usd_nerkhapi,d,20150107,000000,35110,35250,35110,35110
price_usd_nerkhapi,d,20150108,000000,34970,35100,34970,35010
price_usd_nerkhapi,d,20150109,000000,35000,35010,35000,35000
price_usd_nerkhapi,d,20150110,000000,34880,35080,34880,34940
price_usd_nerkhapi,d,20150111,000000,34840,34950,34840,34870
price_usd_nerkhapi,d,20150112,000000,34680,34890,34680,34700
price_usd_nerkhapi,d,20150113,000000,34490,34690,34490,34550
price_usd_nerkhapi,d,20150114,000000,34470,34590,34470,34480
price_usd_nerkhapi,d,20150115,000000,34470,34580,34470,34490
price_usd_nerkhapi,d,20150117,000000,34380,34510,34380,34450
price_usd_nerkhapi,d,20150118,000000,34530,34660,34530,34650
price_usd_nerkhapi,d,20150119,000000,34730,35150,34730,35150
price_usd_nerkhapi,d,20150120,000000,34690,35120,34690,34720
price_usd_nerkhapi,d,20150121,000000,34420,34700,34420,34550
price_usd_nerkhapi,d,20150122,000000,34550,34600,34550,34580
price_usd_nerkhapi,d,20150124,000000,34440,34570,34440,34440
price_usd_nerkhapi,d,20150125,000000,34450,34700,34450,34640
price_usd_nerkhapi,d,20150126,000000,34620,34910,34620,34690
price_usd_nerkhapi,d,20150127,000000,34610,34730,34610,34620
price_usd_nerkhapi,d,20150128,000000,34580,34660,34580,34610
price_usd_nerkhapi,d,20150129,000000,34530,34610,34530,34540
price_usd_nerkhapi,d,20150131,000000,34490,34600,34490,34540
price_usd_nerkhapi,d,20150201,000000,34530,34610,34530,34530
price_usd_nerkhapi,d,20150202,000000,34530,34560,34530,34530
price_usd_nerkhapi,d,20150203,000000,34520,34560,34520,34550
price_usd_nerkhapi,d,20150204,000000,34390,34540,34390,34390
price_usd_nerkhapi,d,20150205,000000,34260,34410,34260,34280
price_usd_nerkhapi,d,20150207,000000,34190,34300,34190,34190
price_usd_nerkhapi,d,20150208,000000,33890,34210,33890,34010
price_usd_nerkhapi,d,20150209,000000,34000,34330,34000,34260
price_usd_nerkhapi,d,20150210,000000,34180,34310,34180,34240
price_usd_nerkhapi,d,20150212,000000,34230,34280,34230,34230
price_usd_nerkhapi,d,20150214,000000,34190,34310,34190,34240
price_usd_nerkhapi,d,20150215,000000,34250,34290,34250,34270
price_usd_nerkhapi,d,20150216,000000,34190,34280,34190,34220
price_usd_nerkhapi,d,20150217,000000,33980,34060,33980,34030
price_usd_nerkhapi,d,20150218,000000,34010,34110,34010,34100
price_usd_nerkhapi,d,20150219,000000,34100,34190,34100,34100
price_usd_nerkhapi,d,20150221,000000,34040,34130,34040,34050
price_usd_nerkhapi,d,20150222,000000,34060,34180,34060,34180
price_usd_nerkhapi,d,20150223,000000,34190,34400,34190,34290
price_usd_nerkhapi,d,20150224,000000,34290,34340,34290,34300
price_usd_nerkhapi,d,20150225,000000,34310,34430,34310,34330
price_usd_nerkhapi,d,20150226,000000,34300,34390,34300,34370
price_usd_nerkhapi,d,20150228,000000,34160,34340,34160,34240
price_usd_nerkhapi,d,20150301,000000,34220,34270,34220,34240
price_usd_nerkhapi,d,20150302,000000,34220,34270,34220,34250
price_usd_nerkhapi,d,20150303,000000,34060,34260,34060,34110
price_usd_nerkhapi,d,20150304,000000,34100,34170,34100,34150
price_usd_nerkhapi,d,20150305,000000,34070,34170,34070,34100
price_usd_nerkhapi,d,20150307,000000,33950,34110,33950,34000
price_usd_nerkhapi,d,20150308,000000,33930,34030,33930,34030
price_usd_nerkhapi,d,20150309,000000,33950,34050,33950,33960
price_usd_nerkhapi,d,20150310,000000,33800,33950,33800,33830
price_usd_nerkhapi,d,20150311,000000,33320,33820,33320,33390
price_usd_nerkhapi,d,20150312,000000,32950,33400,32950,33290
price_usd_nerkhapi,d,20150314,000000,32360,33160,32360,32390
price_usd_nerkhapi,d,20150315,000000,31540,32670,31540,32230
price_usd_nerkhapi,d,20150316,000000,32240,33130,32240,32830
price_usd_nerkhapi,d,20150317,000000,32790,33790,32790,33340
price_usd_nerkhapi,d,20150318,000000,33300,33800,33300,33420
price_usd_nerkhapi,d,20150319,000000,32740,33690,32740,32740
price_usd_nerkhapi,d,20150329,000000,32890,33060,32890,32940
price_usd_nerkhapi,d,20150330,000000,33040,33240,33040,33070
price_usd_nerkhapi,d,20150331,000000,32870,33320,32870,32960
price_usd_nerkhapi,d,20150404,000000,31930,32840,31930,32530
price_usd_nerkhapi,d,20150405,000000,32610,32950,32610,32830
price_usd_nerkhapi,d,20150406,000000,32600,32840,32600,32790
price_usd_nerkhapi,d,20150407,000000,32780,33090,32780,33050
price_usd_nerkhapi,d,20150408,000000,32900,33280,32900,32910
price_usd_nerkhapi,d,20150409,000000,32880,33150,32880,32890
price_usd_nerkhapi,d,20150411,000000,33000,33420,33000,33240
price_usd_nerkhapi,d,20150412,000000,33380,33840,33380,33380
price_usd_nerkhapi,d,20150413,000000,33320,33600,33320,33370
price_usd_nerkhapi,d,20150414,000000,33230,33440,33230,33340
price_usd_nerkhapi,d,20150415,000000,33200,33660,33200,33520
price_usd_nerkhapi,d,20150416,000000,33390,33560,33390,33390
price_usd_nerkhapi,d,20150418,000000,33280,33420,33280,33280
price_usd_nerkhapi,d,20150419,000000,33240,33410,33240,33240
price_usd_nerkhapi,d,20150420,000000,33240,33410,33240,33280
price_usd_nerkhapi,d,20150421,000000,33280,33420,33280,33280
price_usd_nerkhapi,d,20150422,000000,33270,33370,33270,33270
price_usd_nerkhapi,d,20150423,000000,33180,33370,33180,33190
price_usd_nerkhapi,d,20150425,000000,33180,33310,33180,33180
price_usd_nerkhapi,d,20150426,000000,33160,33300,33160,33160
price_usd_nerkhapi,d,20150427,000000,33200,33410,33200,33200
price_usd_nerkhapi,d,20150428,000000,33230,33340,33230,33230
price_usd_nerkhapi,d,20150429,000000,33180,33400,33180,33180
price_usd_nerkhapi,d,20150430,000000,33160,33350,33160,33160
price_usd_nerkhapi,d,20150503,000000,33180,33410,33180,33190
price_usd_nerkhapi,d,20150504,000000,33140,33340,33140,33170
price_usd_nerkhapi,d,20150505,000000,33080,33240,33080,33110
price_usd_nerkhapi,d,20150506,000000,33080,33280,33080,33180
price_usd_nerkhapi,d,20150509,000000,33160,33290,33160,33190
price_usd_nerkhapi,d,20150510,000000,33090,33210,33090,33090
price_usd_nerkhapi,d,20150511,000000,33040,33180,33040,33040
price_usd_nerkhapi,d,20150512,000000,32950,33120,32950,32970
price_usd_nerkhapi,d,20150513,000000,32970,33250,32970,32980
price_usd_nerkhapi,d,20150514,000000,32960,33120,32960,32960
price_usd_nerkhapi,d,20150516,000000,32960,32970,32960,32960
price_usd_nerkhapi,d,20150517,000000,32990,33150,32990,32990
price_usd_nerkhapi,d,20150518,000000,32950,33060,32950,32990
price_usd_nerkhapi,d,20150519,000000,32970,33080,32970,32970
price_usd_nerkhapi,d,20150520,000000,32760,33030,32760,32950
price_usd_nerkhapi,d,20150521,000000,32830,33050,32830,32840
price_usd_nerkhapi,d,20150523,000000,32950,33100,32950,32960
price_usd_nerkhapi,d,20150524,000000,32940,33050,32940,32940
price_usd_nerkhapi,d,20150525,000000,32920,33130,32920,32920
price_usd_nerkhapi,d,20150526,000000,32920,33150,32920,32990
price_usd_nerkhapi,d,20150527,000000,32990,33150,32990,32990
price_usd_nerkhapi,d,20150528,000000,32970,33220,32970,32970
price_usd_nerkhapi,d,20150530,000000,32970,33310,32970,33070
price_usd_nerkhapi,d,20150531,000000,33070,33330,33070,33180
price_usd_nerkhapi,d,20150601,000000,33090,33230,33090,33120
price_usd_nerkhapi,d,20150602,000000,33090,33210,33090,33210
price_usd_nerkhapi,d,20150606,000000,33100,33220,33100,33120
price_usd_nerkhapi,d,20150607,000000,33060,33140,33060,33070
price_usd_nerkhapi,d,20150608,000000,33070,33160,33070,33110
price_usd_nerkhapi,d,20150609,000000,33070,33160,33070,33070
price_usd_nerkhapi,d,20150610,000000,33070,33160,33070,33070
price_usd_nerkhapi,d,20150611,000000,33100,33220,33100,33190
price_usd_nerkhapi,d,20150613,000000,33050,33170,33050,33050
price_usd_nerkhapi,d,20150614,000000,32920,33120,32920,32920
price_usd_nerkhapi,d,20150615,000000,32820,33020,32820,32920
price_usd_nerkhapi,d,20150616,000000,32780,32980,32780,32950
price_usd_nerkhapi,d,20150617,000000,32920,33010,32920,32950
price_usd_nerkhapi,d,20150618,000000,32880,32960,32880,32880
price_usd_nerkhapi,d,20150620,000000,32800,32890,32800,32810
price_usd_nerkhapi,d,20150621,000000,32780,32860,32780,32820
price_usd_nerkhapi,d,20150622,000000,32700,32810,32700,32710
price_usd_nerkhapi,d,20150623,000000,32580,32770,32580,32770
price_usd_nerkhapi,d,20150624,000000,32760,32960,32760,32850
price_usd_nerkhapi,d,20150625,000000,32850,32990,32850,32850
price_usd_nerkhapi,d,20150627,000000,32980,33190,32980,33130
price_usd_nerkhapi,d,20150628,000000,33110,33490,33110,33110
price_usd_nerkhapi,d,20150629,000000,33110,33450,33110,33110
price_usd_nerkhapi,d,20150630,000000,32980,33260,32980,33100
price_usd_nerkhapi,d,20150701,000000,33200,33440,33200,33200
price_usd_nerkhapi,d,20150702,000000,33030,33190,33030,33060
price_usd_nerkhapi,d,20150704,000000,33110,33300,33110,33160
price_usd_nerkhapi,d,20150705,000000,33010,33330,33010,33060
price_usd_nerkhapi,d,20150706,000000,32810,33100,32810,32840
price_usd_nerkhapi,d,20150707,000000,32520,32810,32520,32590
price_usd_nerkhapi,d,20150709,000000,32490,32670,32490,32490
price_usd_nerkhapi,d,20150711,000000,32570,32710,32570,32600
price_usd_nerkhapi,d,20150712,000000,32550,32740,32550,32620
price_usd_nerkhapi,d,20150713,000000,32250,32360,32250,32250
price_usd_nerkhapi,d,20150714,000000,31890,32290,31890,32280
price_usd_nerkhapi,d,20150715,000000,32290,32740,32290,32290
price_usd_nerkhapi,d,20150716,000000,32300,32660,32300,32410
price_usd_nerkhapi,d,20150720,000000,32390,32510,32390,32400
price_usd_nerkhapi,d,20150721,000000,32310,32500,32310,32440
price_usd_nerkhapi,d,20150722,000000,32470,32700,32470,32480
price_usd_nerkhapi,d,20150723,000000,32380,32660,32380,32480
price_usd_nerkhapi,d,20150725,000000,32380,32960,32380,32570
price_usd_nerkhapi,d,20150726,000000,32890,33180,32890,32950
price_usd_nerkhapi,d,20150727,000000,32860,33000,32860,32900
price_usd_nerkhapi,d,20150728,000000,32980,33090,32980,32980
price_usd_nerkhapi,d,20150729,000000,32990,33100,32990,33030
price_usd_nerkhapi,d,20150730,000000,33000,33070,33000,33000
price_usd_nerkhapi,d,20150801,000000,33060,33220,33060,33140
price_usd_nerkhapi,d,20150802,000000,33120,33270,33120,33150
price_usd_nerkhapi,d,20150803,000000,33140,33230,33140,33160
price_usd_nerkhapi,d,20150804,000000,33220,33330,33220,33240
price_usd_nerkhapi,d,20150805,000000,33250,33320,33250,33270
price_usd_nerkhapi,d,20150806,000000,33250,33330,33250,33250
price_usd_nerkhapi,d,20150808,000000,33380,33610,33380,33380
price_usd_nerkhapi,d,20150809,000000,33300,33520,33300,33390
price_usd_nerkhapi,d,20150810,000000,33360,33490,33360,33360
price_usd_nerkhapi,d,20150812,000000,33430,33570,33430,33460
price_usd_nerkhapi,d,20150813,000000,33450,33680,33450,33450
price_usd_nerkhapi,d,20150815,000000,33400,33640,33400,33400
price_usd_nerkhapi,d,20150816,000000,33390,33470,33390,33410
price_usd_nerkhapi,d,20150817,000000,33410,33590,33410,33410
price_usd_nerkhapi,d,20150818,000000,33550,33720,33550,33550
price_usd_nerkhapi,d,20150819,000000,33460,33630,33460,33460
price_usd_nerkhapi,d,20150820,000000,33490,33600,33490,33490
price_usd_nerkhapi,d,20150822,000000,33480,33630,33480,33480
price_usd_nerkhapi,d,20150823,000000,33500,33680,33500,33500
price_usd_nerkhapi,d,20150824,000000,33550,33760,33550,33550
price_usd_nerkhapi,d,20150825,000000,33560,33810,33560,33650
price_usd_nerkhapi,d,20150826,000000,33630,34070,33630,33630
price_usd_nerkhapi,d,20150827,000000,33550,34000,33550,33550
price_usd_nerkhapi,d,20150829,000000,33590,33940,33590,33590
price_usd_nerkhapi,d,20150830,000000,33670,33900,33670,33670
price_usd_nerkhapi,d,20150831,000000,33770,34090,33770,33770
price_usd_nerkhapi,d,20150901,000000,33770,34130,33770,33990
price_usd_nerkhapi,d,20150902,000000,33800,34220,33800,33800
price_usd_nerkhapi,d,20150903,000000,33850,34080,33850,33850
price_usd_nerkhapi,d,20150905,000000,33830,34170,33830,33830
price_usd_nerkhapi,d,20150906,000000,33830,34290,33830,33900
price_usd_nerkhapi,d,20150907,000000,33890,34280,33890,33890
price_usd_nerkhapi,d,20150908,000000,33830,34370,33830,33830
price_usd_nerkhapi,d,20150909,000000,33830,34320,33830,33850
price_usd_nerkhapi,d,20150910,000000,33850,34300,33850,33850
price_usd_nerkhapi,d,20150912,000000,33900,34550,33900,33900
price_usd_nerkhapi,d,20150913,000000,33900,34600,33900,33980
price_usd_nerkhapi,d,20150914,000000,33980,34750,33980,34200
price_usd_nerkhapi,d,20150915,000000,33950,34930,33950,33950
price_usd_nerkhapi,d,20150916,000000,33930,34650,33930,33930
price_usd_nerkhapi,d,20150917,000000,33850,34000,33850,33850
price_usd_nerkhapi,d,20150919,000000,33850,34000,33850,33850
price_usd_nerkhapi,d,20150920,000000,33830,34050,33830,33830
price_usd_nerkhapi,d,20150921,000000,33720,33940,33720,33720
price_usd_nerkhapi,d,20150922,000000,33880,34080,33880,33880
price_usd_nerkhapi,d,20150923,000000,33850,33970,33850,33850
price_usd_nerkhapi,d,20150926,000000,33840,33970,33840,33840
price_usd_nerkhapi,d,20150927,000000,33930,34200,33930,33930
price_usd_nerkhapi,d,20150928,000000,33920,34200,33920,33920
price_usd_nerkhapi,d,20150929,000000,33960,34310,33960,33960
price_usd_nerkhapi,d,20150930,000000,33950,34660,33950,33950
price_usd_nerkhapi,d,20151001,000000,33890,34480,33890,33890
price_usd_nerkhapi,d,20151003,000000,33940,34600,33940,33940
price_usd_nerkhapi,d,20151004,000000,33950,34400,33950,33950
price_usd_nerkhapi,d,20151005,000000,33990,34500,33990,33990
price_usd_nerkhapi,d,20151006,000000,33990,34850,33990,33990
price_usd_nerkhapi,d,20151007,000000,33990,34750,33990,33990
price_usd_nerkhapi,d,20151008,000000,33990,34750,33990,34700
price_usd_nerkhapi,d,20151010,000000,33980,34960,33980,33980
price_usd_nerkhapi,d,20151011,000000,33900,34730,33900,33900
price_usd_nerkhapi,d,20151012,000000,33890,34730,33890,33890
price_usd_nerkhapi,d,20151013,000000,33880,34550,33880,33880
price_usd_nerkhapi,d,20151014,000000,33880,34950,33880,34950
price_usd_nerkhapi,d,20151015,000000,33890,34950,33890,34300
price_usd_nerkhapi,d,20151017,000000,33710,34710,33710,33870
price_usd_nerkhapi,d,20151018,000000,33870,34510,33870,33870
price_usd_nerkhapi,d,20151019,000000,33810,34450,33810,33810
price_usd_nerkhapi,d,20151020,000000,33810,34400,33810,33810
price_usd_nerkhapi,d,20151021,000000,33830,34390,33830,33830
price_usd_nerkhapi,d,20151022,000000,33850,34550,33850,33850
price_usd_nerkhapi,d,20151025,000000,33850,34600,33850,33850
price_usd_nerkhapi,d,20151026,000000,33880,34900,33880,33880
price_usd_nerkhapi,d,20151027,000000,33890,34790,33890,33890
price_usd_nerkhapi,d,20151028,000000,33900,34900,33900,33900
price_usd_nerkhapi,d,20151029,000000,33890,34850,33890,33890
price_usd_nerkhapi,d,20151031,000000,33890,34880,33890,33890
price_usd_nerkhapi,d,20151101,000000,33950,34990,33950,33950
price_usd_nerkhapi,d,20151102,000000,33940,34980,33940,33940
price_usd_nerkhapi,d,20151103,000000,34150,35100,34150,35100
price_usd_nerkhapi,d,20151104,000000,33930,35150,33930,33930
price_usd_nerkhapi,d,20151105,000000,33890,34950,33890,33890
price_usd_nerkhapi,d,20151107,000000,33930,34970,33930,33930
price_usd_nerkhapi,d,20151108,000000,33950,35120,33950,33950
price_usd_nerkhapi,d,20151114,000000,35710,35950,35710,35950
price_usd_nerkhapi,d,20151115,000000,35750,35950,35750,35850
price_usd_nerkhapi,d,20151116,000000,35580,35740,35580,35630
price_usd_nerkhapi,d,20151117,000000,35630,35750,35630,35700
price_usd_nerkhapi,d,20151118,000000,35710,35790,35710,35790
price_usd_nerkhapi,d,20151119,000000,35750,35830,35750,35830
price_usd_nerkhapi,d,20151121,000000,35750,35830,35750,35800
price_usd_nerkhapi,d,20151122,000000,35760,35960,35760,35960
