<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
price_usd_nerkhapi,d,20220922,000000,317500,317500,317500,317500
price_usd_nerkhapi,d,20220923,000000,317500,317500,317500,317500
price_usd_nerkhapi,d,20220924,000000,317400,317400,317400,317400
price_usd_nerkhapi,d,20220925,000000,317400,317400,317400,317400
price_usd_nerkhapi,d,20220926,000000,316800,316800,316800,316800
price_usd_nerkhapi,d,20220927,000000,316800,316800,316800,316800
price_usd_nerkhapi,d,20220928,000000,318300,318300,318300,318300
price_usd_nerkhapi,d,20220929,000000,320200,320200,320200,320200
price_usd_nerkhapi,d,20220930,000000,320200,320200,320200,320200
price_usd_nerkhapi,d,20221001,000000,331200,331200,331200,331200
price_usd_nerkhapi,d,20221002,000000,331200,331200,331200,331200
price_usd_nerkhapi,d,20221003,000000,332500,332500,332500,332500
price_usd_nerkhapi,d,20221004,000000,332300,332300,332300,332300
price_usd_nerkhapi,d,20221005,000000,332300,332300,332300,332300
price_usd_nerkhapi,d,20221006,000000,328800,328800,328800,328800
price_usd_nerkhapi,d,20221007,000000,328800,328800,328800,328800
price_usd_nerkhapi,d,20221008,000000,327500,327500,327500,327500
price_usd_nerkhapi,d,20221009,000000,324000,324000,324000,324000
price_usd_nerkhapi,d,20221010,000000,326300,326300,326300,326300
price_usd_nerkhapi,d,20221011,000000,328500,328500,328500,328500
price_usd_nerkhapi,d,20221012,000000,326700,326700,326700,326700
price_usd_nerkhapi,d,20221013,000000,330000,330000,330000,330000
price_usd_nerkhapi,d,20221014,000000,330000,330000,330000,330000
price_usd_nerkhapi,d,20221015,000000,328500,328500,328500,328500
price_usd_nerkhapi,d,20221016,000000,331000,331000,331000,331000
price_usd_nerkhapi,d,20221017,000000,328500,328500,328500,328500
price_usd_nerkhapi,d,20221018,000000,329500,329500,329500,329500
price_usd_nerkhapi,d,20221019,000000,328000,328000,328000,328000
price_usd_nerkhapi,d,20221020,000000,327800,327800,327800,327800
price_usd_nerkhapi,d,20221021,000000,327100,327100,327100,327100
price_usd_nerkhapi,d,20221022,000000,328400,328400,328400,328400
price_usd_nerkhapi,d,20221023,000000,327500,327500,327500,327500
price_usd_nerkhapi,d,20221024,000000,328000,328000,328000,328000
price_usd_nerkhapi,d,20221025,000000,328900,328900,328900,328900
price_usd_nerkhapi,d,20221026,000000,330300,330300,330300,330300
price_usd_nerkhapi,d,20221027,000000,330800,330800,330800,330800
price_usd_nerkhapi,d,20221028,000000,330500,330500,330500,330500
price_usd_nerkhapi,d,20221029,000000,331100,331100,331100,331100
price_usd_nerkhapi,d,20221030,000000,333200,333200,333200,333200
price_usd_nerkhapi,d,20221031,000000,339500,339500,339500,339500
price_usd_nerkhapi,d,20221101,000000,347300,347300,347300,347300
price_usd_nerkhapi,d,20221102,000000,350000,350000,350000,350000
price_usd_nerkhapi,d,20221103,000000,351600,351600,351600,351600
price_usd_nerkhapi,d,20221104,000000,361000,361000,361000,361000
price_usd_nerkhapi,d,20221105,000000,362400,362400,362400,362400
price_usd_nerkhapi,d,20221106,000000,362400,362400,362400,362400
price_usd_nerkhapi,d,20221107,000000,367500,367500,367500,367500
price_usd_nerkhapi,d,20221108,000000,360000,360000,360000,360000
price_usd_nerkhapi,d,20221109,000000,356500,356500,356500,356500
price_usd_nerkhapi,d,20221110,000000,351600,351600,351600,351600
price_usd_nerkhapi,d,20221111,000000,351600,351600,351600,351600
price_usd_nerkhapi,d,20221112,000000,350800,350800,350800,350800
price_usd_nerkhapi,d,20221113,000000,354300,354300,354300,354300
price_usd_nerkhapi,d,20221114,000000,358500,358500,358500,358500
price_usd_nerkhapi,d,20221115,000000,358200,358200,358200,358200
price_usd_nerkhapi,d,20221116,000000,356200,356200,356200,356200
price_usd_nerkhapi,d,20221117,000000,353700,353700,353700,353700
price_usd_nerkhapi,d,20221118,000000,352200,352200,352200,352200
price_usd_nerkhapi,d,20221119,000000,354500,354500,354500,354500
price_usd_nerkhapi,d,20221120,000000,353500,353500,353500,353500
price_usd_nerkhapi,d,20221121,000000,355200,355200,355200,355200
price_usd_nerkhapi,d,20221122,000000,353300,353300,353300,353300
price_usd_nerkhapi,d,20221123,000000,352500,352500,352500,352500
price_usd_nerkhapi,d,20221124,000000,353200,353200,353200,353200
price_usd_nerkhapi,d,20221125,000000,353200,353200,353200,353200
price_usd_nerkhapi,d,20221126,000000,356300,356300,356300,356300
price_usd_nerkhapi,d,20221127,000000,359500,359500,359500,359500
price_usd_nerkhapi,d,20221128,000000,360300,360300,360300,360300
price_usd_nerkhapi,d,20221129,000000,359000,359000,359000,359000
price_usd_nerkhapi,d,20221130,000000,361500,361500,361500,361500
price_usd_nerkhapi,d,20221201,000000,362500,362500,362500,362500
price_usd_nerkhapi,d,20221202,000000,363600,363600,363600,363600
price_usd_nerkhapi,d,20221203,000000,361700,361700,361700,361700
price_usd_nerkhapi,d,20221204,000000,363700,363700,363700,363700
price_usd_nerkhapi,d,20221205,000000,363500,363500,363500,363500
price_usd_nerkhapi,d,20221206,000000,361900,361900,361900,361900
price_usd_nerkhapi,d,20221207,000000,363000,363000,363000,363000
price_usd_nerkhapi,d,20221208,000000,362500,362500,362500,362500
price_usd_nerkhapi,d,20221209,000000,362500,362500,362500,362500
price_usd_nerkhapi,d,20221210,000000,370200,370200,370200,370200
price_usd_nerkhapi,d,20221211,000000,373500,373500,373500,373500
price_usd_nerkhapi,d,20221212,000000,379500,379500,379500,379500
price_usd_nerkhapi,d,20221213,000000,385900,385900,385900,385900
